T拼音	汉字	类别	意符	通用语	释义
an3	俺	代词	dc	anfdc	我们（不包括听话的人）
an3	埯	固象	gx	anfgx	点播种子挖的小坑
an3	铵	[化学]	h	anfh	铵离子
an3	揞	涂敷	tf	anftf	把药面按在伤口上
an4	犴	神话	uh	anduh	〔狴犴〕传说中的兽名。古代牢狱门上绘其形状，故又用为牢狱的代称。
an4	岸	近水	ju	andju	水边的陆地
an4	按	力量	ll	andll	用手或手指压
an4	案	(家具)		and	长形的桌子
an4	案	家具	jj	andjj	长形的桌子
an4	胺	[化学]	h	andh	有机化合物
an4	暗	差异	iy	andiy	不亮
an4	黯	光泽	gz	andgz	昏黑
ang1	肮	(污浊)		ag	不干净
ang1	肮	污浊	wv	aglwv	不干净
ang2	昂	(力量)		agk	仰，高抬
ang2	昂	力量	ll	agkll	仰，高抬
ang4	盎	(盛器)		agd	古代的一种盆
ang4	盎	盛器	iq	agdiq	古代的一种盆
ao1	凹	(外观)		ao	周围高，中间低
ao1	凹	外观	wg	aolwg	周围高，中间低
ao1	熬	(烹饪)		aol	放在水里煮
ao1	熬	烹饪	pr	aolpr	放在水里煮
ao2	敖	"游戏,排序"	yxp	aokyxp	出游，闲游
ao2	嗷	声音	uy	aokuy	象声词，愁叹声，嘈杂声
ao2	廒	场所	is	aokis	仓房
ao2	獒	[哺乳]	b	aokb	一种凶猛的狗
ao2	遨	游戏	yx	aokyx	游逛
ao2	熬	(烹饪)		aok	久煮
ao2	熬	烹饪	pr	aokpr	久煮
ao2	翱	飞动	fd	aokfd	翱翔
ao2	聱	反感	fg	aokfg	话不顺耳
ao2	螯	四肢	sv	aoksv	节肢动物变形的第一对脚
ao2	鳌	神话	uh	aokuh	大龟或大鳖
ao2	鏖	侵害	qh	aokqh	喧扰
ao2	嚣	地名	dm	apkdm	商代仲丁的都城
ao3	拗	破开	pk	aofpk	弯曲使断
ao3	袄	(服装)		aof	有衬里的上衣
ao3	袄	服装	fv	aoffv	有衬里的上衣
ao3	媪	称谓	iw	aofiw	古代对妇女的通称
ao4	坳	地形	dx	aoddx	山间的平地
ao4	拗	悖反	bf	aodbf	不顺，不顺从
ao4	岙	"地形,方言"	dxf	aoddxf	山间平地
ao4	傲	态度	td	aodtd	自高自大
ao4	奥	(思绪)		aod	含义深
ao4	奥	思绪	sx	aodsx	含义深
ao4	骜	[哺乳]	b	aodb	骏马
ao4	澳	交通	jt	aodjt	海边弯曲可以停船的地方
ao4	懊	恼怒	nn	aodnn	烦恼，悔恨
ao4	鏊	炊具	ij	aodij	烙饼的炊具
ba1	八	(规律)		ba	数名，七加一
ba1	八	规律	gl	balgl	数名，七加一
ba1	巴	(固象)		bal	粘结着的东西
ba1	巴	固象	gx	balgx	粘结着的东西
ba1	叭	拟词	nc	balnc	象声词
ba1	扒	指法	vf	balvf	抓住，把着
ba1	吧	[拟词]	n	baln	象声词
ba1	岜	地形	dx	baldx	石山
ba1	芭	果品	gp	balgp	芭蕉
ba1	疤	疾病	jb	baljb	伤口或疮平复以后留下的痕迹
ba1	捌	"规律,大写"	gldx	balgldx	“八”的大写
ba1	笆	组合	zh	balzh	像席箔那样的东西
ba1	粑	米面	mm	balmm	饼类食物
ba2	拔	(剥离)		bak	抽，拉出
ba2	拔	剥离	bl	bakbl	抽，拉出
ba2	茇	根苗	gm	bakgm	草木的根
ba2	菝	木本	mb	bakmb	〔菝葜〕多年生草本植物，木质，茎高一米到两米，有刺而外曲，花黄绿色，橘红色浆果，像豆，地下根茎入药。
ba2	跋	奔走	bz	bakbz	翻山越岭
ba2	魃	信仰	xy	bakxy	造成旱灾的鬼怪
ba3	把	(手控)		baf	拿，抓住
ba3	把	手控	uk	bafuk	拿，抓住
ba3	钯	元素	ys	bafys	一种金属元素Pd
ba3	靶	兵器	bq	bafbq	练习射箭或射击用的目标
ba4	把	器材	qc	badqc	手柄
ba4	坝	土建	tj	badtj	截住河流的构筑物
ba4	爸	(家族)		bad	称呼父亲
ba4	爸	家族	jz	badjz	称呼父亲
ba4	罢	平衡	ph	badph	停，歇
ba4	鲅	鱼类	yl	badyl	鲅鱼
ba4	霸	胁迫	xp	badxp	奉行强力政策，或实行强力占有
ba4	灞	河川	hi	badhi	水名
ba4	耙	农具	nj	badnj	把土块弄碎的农具
ba5	吧	(语助词)		bam	表示赞同
ba5	吧	语助词	yv	bamyv	表示赞同
ba5	罢	[语助词]	y	bamy	表示赞同
bai1	掰	(破开)		bai	把东西分开或折断
bai1	掰	破开	pk	bailpk	把东西分开或折断
bai2	白	(色彩)		baik	雪花或乳汁那样的颜色
bai2	白	色彩	sc	baiksc	雪花或乳汁那样的颜色
bai3	百	(规律)		baif	数名，十个十
bai3	百	规律	gl	baifgl	数名，十个十
bai3	佰	"规律,大写"	gldx	baifgldx	“百”的大写
bai3	柏	木本	mb	baifmb	常绿乔木
bai3	捭	彼此	bc	baifbc	分开
bai3	摆	[操作]	c	baifc	陈列，安放
bai3	伯	家族	jz	baifjz	父亲的哥哥
bai4	呗	声音	uy	baiduy	和尚诵经
bai4	败	(损失)		baid	输，失利，不成功
bai4	败	损失	su	baidsu	输，失利，不成功
bai4	拜	风俗	fs	baidfs	表示敬意的礼节
bai4	稗	草本	cb	baidcb	草本植物
ban1	扳	变形	bx	banlbx	往下或往里拉
ban1	班	(团体)		ban	工作或学习的组织
ban1	班	团体	tt	banltt	工作或学习的组织
ban1	般	(类别)		banl	样，种，类
ban1	般	类别	lb	banllb	样，种，类
ban1	颁	通讯	tx	banltx	颁发。颁布
ban1	斑	外表	wb	banlwb	夹杂的别种颜色的点子或条纹
ban1	搬	搬运	by	banlby	移动，迁移
ban1	瘢	疾病	jb	banljb	疮痕，疤瘌，斑点
ban1	癍	皮肤	pf	banlpf	斑点状皮肤病的通称
ban3	阪	地名	dm	banfdm	崎岖硗薄的地方
ban3	坂	地形	dx	banfdx	山坡，斜坡
ban3	板	体貌	tm	banftm	成片的较硬的物体
ban3	版	(文具)		banf	供印刷用的东西
ban3	版	文具	wj	banfwj	供印刷用的东西
ban3	钣	材料	cl	banfcl	金属板
ban3	舨	载具	zj	banfzj	舢舨
ban4	办	(做事)		band	处理
ban4	办	做事	zu	bandzu	处理
ban4	半	[规律]	g	bandg	二分之一
ban4	伴	称谓	iw	bandiw	同在一起而能互助的人
ban4	扮	日常	ri	bandri	化装
ban4	拌	[操作]	c	bandc	搅和
ban4	绊	缠绕	ir	bandir	行走时被别的东西挡住或缠住
ban4	瓣	花朵	hd	bandhd	组成花冠的各片
bang1	邦	(政区)		bagl	国家
bang1	邦	政区	vq	baglvq	国家某一部门主管的业务
bang1	帮	(保卫)		bag	辅助
bang1	帮	保卫	bw	baglbw	辅助
bang1	梆	乐器	yq	baglyq	〔梆子〕打更用的响器
bang1	浜	近水	ju	baglju	小河沟
bang3	绑	捆扎	kz	bagfkz	捆，缚
bang3	榜	(表示)		bagf	张贴出来的文告或名单
bang3	榜	表示	bu	bagfbu	张贴出来的文告或名单
bang3	膀	四肢	sv	bagfsv	胳膊的上部靠肩的部分
bang4	膀	四肢	sv	bagdsv	胳膊的上部靠肩的部分
bang4	蚌	虫子	iz	bagdiz	生活在淡水里的一种软体动物
bang4	傍	姿态	zt	bagdzt	靠；靠近
bang4	棒	(用具)		bagd	棍子
bang4	棒	用具	yj	bagdyj	棍子
bang4	谤	谴责	qz	bagdqz	恶意攻击别人
bang4	蒡	草本	cb	bagdcb	草本植物
bang4	磅	衡量	hl	bagdhl	英美制重量单位
bang4	镑	货币	hb	bagdhb	英国、埃及等国的本位货币单位
bao1	包	(包装)		bao	把东西裹起来
bao1	包	包装	bv	baolbv	把东西裹起来
bao1	孢	变态	bt	baolbt	孢子
bao1	苞	花朵	hd	baolhd	花托下面像叶的小片
bao1	胞	(组织)		baol	生物体的基本结构和功能单位
bao1	胞	组织	zv	baolzv	生物体的基本结构和功能单位
bao1	煲	炊具	ij	baolij	壁较陡直的锅
bao1	龅	"组织,排序"	zvp	baolzvp	突出唇外的牙齿
bao1	褒	礼貌	lm	baollm	赞扬，夸奖
bao1	剥	剥离	bl	baolbl	去掉外面的皮或其他东西
bao1	炮	耗能	hn	baolhn	把物品放在器物上烘烤或焙
bao2	雹	天气	tq	baoktq	空中水蒸气遇冷结成的冰粒或冰块
bao2	薄	(体貌)		baok	厚度小的
bao2	薄	体貌	tm	baoktm	厚度小的
bao3	宝	[评判]	p	baofp	玉器，泛指珍贵的东西
bao3	饱	体感	tg	baoftg	吃足了
bao3	保	(保卫)		baof	看守住，护着不让受损害或丧失
bao3	保	保卫	bw	baofbw	看守住，护着不让受损害或丧失
bao3	鸨	鸟类	nl	baofnl	鸟类的一属
bao3	堡	土建	tj	baoftj	军事上防守用的建筑物
bao3	葆	繁荣	fr	baoffr	草茂盛的样子
bao3	褓	用具	yj	baofyj	〔襁褓〕包婴儿的被、毯
bao4	报	(叙述)		baod	传达，告知
bao4	报	叙述	xu	baodxu	传达，告知
bao4	抱	手控	uk	baoduk	用手臂围住
bao4	豹	[哺乳]	b	baodb	哺乳动物
bao4	趵	奔走	bz	baodbz	跳跃
bao4	鲍	虫子	iz	baodiz	〔鲍鱼〕软体动物
bao4	暴	猛烈	ml	baodml	强大而突然来的
bao4	爆	突变	tb	baodtb	猛然炸裂并发出响声
bao4	刨	工具	gj	baodgj	推刮木料
bao4	瀑	河川	tq	baodtq	〔瀑河〕水名，在河北
bao4	曝	[操作]	c	baodc	〔曝光〕使感光纸或摄影胶片感光
bei1	陂	流体	lt	beillt	池塘
bei1	卑	空间	kj	beilkj	低下，低劣
bei1	杯	(盛器)		bei	盛酒、水、茶等的器皿
bei1	杯	盛器	iq	beiliq	盛酒、水、茶等的器皿
bei1	悲	(悲苦)		beil	伤心，哀痛
bei1	悲	悲苦	bk	beilbk	伤心，哀痛
bei1	碑	表示	bu	beilbu	刻上文字纪念事业
bei1	鹎	鸟类	nl	beilnl	鸟类的一属
bei1	背	力量	ll	beilll	（人）用脊背驮
bei3	北	(方位)		beif	方向
bei3	北	方位	fw	beiffw	方向
bei4	贝	生命	um	beidum	介壳软体动物的总称
bei4	狈	神话	uh	beiduh	传说中的一种兽
bei4	邶	历史	lu	beidlu	中国周代诸侯国名
bei4	备	态势	tu	beidtu	完全，应有的都有了
bei4	背	[躯体]	q	beidq	人体后面从肩到腰的部分
bei4	钡	元素	ys	beidys	一种金属元素Ba
bei4	倍	[虚拟]	x	beidx	等于原数的两个
bei4	悖	悖反	bf	beidbf	混乱，相冲突
bei4	被	(用具)		beid	睡觉时覆盖身体的东西
bei4	被	用具	yj	beidyj	睡觉时覆盖身体的东西
bei4	惫	体感	tg	beidtg	极度疲乏
bei4	焙	烹饪	pr	beidpr	用微火烘烤
bei4	辈	次序	cx	beidcx	家族的世代
bei4	碚	地名	dm	beiddm	〔北碚〕地名，在中国重庆市
bei4	蓓	花朵	hd	beidhd	花骨朵
bei4	褙	技能	jn	beidjn	把布或纸一层一层粘在一起
bei4	鞴	[操作]	c	beidc	把鞍辔等套在马身上。
bei4	鐾	接触	ji	beidji	在布、皮、石头等物上把刀反复摩擦几下，使锋利
bei4	孛	天文	tw	beidtw	古书上指光芒强盛的彗星
bei5	呗	[语助词]	y	beimy	罢了，不过如此
bei5	臂	(四肢)		beim	从肩到手腕的部分
bei5	臂	四肢	sv	beimsv	从肩到手腕的部分
ben1	奔	(奔走)		ben	急走，跑
ben1	奔	奔走	bz	benlbz	急走，跑
ben1	贲	"(奔走,排序)"		benl	通“奔”急走，跑
ben1	贲	"奔走,排序"	bzp	benlbzp	通“奔”急走，跑
ben1	锛	工具	gj	benlgj	木工用的一种工具
ben3	本	(根苗)		benf	草木的根
ben3	本	根苗	gm	benfgm	草木的根
ben3	苯	[化学]	h	benfh	有机化合物
ben3	畚	组合	zh	benfzh	撮垃圾、粮食等的器具
ben4	奔	(来往)		bend	直往，趋向
ben4	奔	来往	lw	bendlw	直往，趋向
ben4	坌	粉尘	fi	bendfi	尘埃
ben4	笨	才情	cq	bendcq	不聪明
ben4	夯	"才情,排序"	cqp	bendcqp	不聪明
beng1	崩	(突变)		beg	倒塌
beng1	崩	突变	tb	begltb	倒塌
beng1	绷	(紧张)		begl	张紧，拉紧
beng1	绷	紧张	jv	begljv	张紧，拉紧
beng1	嘣	[拟词]	n	begln	象声词
beng2	甭	(悖反)		begk	不用
beng2	甭	悖反	bf	begkbf	不用
beng3	绷	(仪态)		begf	张紧，拉紧
beng3	绷	仪态	yt	begfyt	张紧，拉紧
beng4	蚌	地名	dm	begddm	蚌埠
beng4	绷	破开	pk	begdpk	张紧，拉紧
beng4	泵	(机械)		begd	一种机器，能把液体或气体抽出或压入
beng4	泵	机械	jx	begdjx	一种机器，能把液体或气体抽出或压入
beng4	迸	突变	tb	begdtb	爆开，溅射
beng4	甏	盛器	iq	begdiq	瓮一类的器皿
beng4	蹦	奔走	bz	begdbz	两脚并着跳
bi1	逼	(胁迫)		bi	强迫，威胁
bi1	逼	胁迫	xp	bilxp	强迫，威胁
bi2	荸	果品	gp	bikgp	荸荠
bi2	鼻	(感官)		bik	嗅觉器官
bi2	鼻	感官	gg	bikgg	嗅觉器官
bi3	匕	餐具	cj	bifcj	古代指勺、匙之类的取食用具
bi3	比	(比赛)		bif	较量高低、长短、远近、好坏等
bi3	比	比赛	bs	bifbs	较量高低、长短、远近、好坏等
bi3	吡	[化学]	h	bifh	有机化合物
bi3	妣	家族	jz	bifjz	原指母亲，后称已经死去的母亲
bi3	彼	[代词]	d	bifd	那，那个
bi3	秕	种子	vz	bifvz	子实不饱满
bi3	俾	做事	zu	bifzu	使（达到某种效果）
bi3	笔	文具	wj	bifwj	写字画图的用具
bi3	舭	方位	fw	biffw	船底和船侧间的弯曲部分
bi3	鄙	作风	zf	bifzf	粗俗
bi3	芘	化学	hx	bifhx	有机化合物
bi4	贲	外表	wb	bidwb	文饰，装饰得很好
bi4	币	财产	ci	bidci	交换各种商品的媒介
bi4	必	(副词)		bid	一定
bi4	必	副词	fc	bidfc	一定
bi4	毕	末尾	mw	bidmw	完结
bi4	闭	屏蔽	pb	bidpb	关，合
bi4	庇	保卫	bw	bidbw	遮蔽，掩护
bi4	畀	送给	sg	bidsg	给与
bi4	哔	服料	fl	bidfl	〔哔叽〕一种斜纹的纺织品
bi4	毖	文明	wm	bidwm	谨慎
bi4	荜	"木本,排序A"	mbpa	bidmbpa	同“筚”用荆条、竹子等编成的篱笆或其他遮拦物
bi4	陛	传统	it	bidit	对国王或皇帝的敬称
bi4	毙	死亡	sw	bidsw	死亡
bi4	狴	神话	uh	biduh	狴犴
bi4	铋	元素	ys	bidys	一种金属元素Bi
bi4	婢	角色	js	bidjs	被役使的女子
bi4	庳	空间	kj	bidkj	低洼；矮
bi4	敝	次序	cx	bidcx	破旧
bi4	萆	"木本,排序"	mbp	bidmbp	藤本植物
bi4	弼	"保卫,排序"	bwp	bidbwp	辅佐
bi4	愎	态度	td	bidtd	固执任性
bi4	筚	组合	zh	bidzh	用荆条、竹子等编成的篱笆或其他遮拦物
bi4	滗	劳作	lz	bidlz	挡住渣滓或泡着的东西，把液体倒出
bi4	痹	疾病	jb	bidjb	痹症
bi4	蓖	草本	cb	bidcb	〔蓖麻〕一年生或多年生草本植物
bi4	裨	利益	ly	bidly	益处
bi4	跸	典礼	dl	biddl	帝王出行时清道，禁止行人来往
bi4	辟	帝皇	dh	biddh	君主
bi4	弊	欺骗	qp	bidqp	欺蒙人的坏事
bi4	碧	物产	wi	bidwi	青绿色的玉石
bi4	箅	器材	qc	bidqc	〔箅子〕有空隙而能起间隔作用的片状器具
bi4	蔽	掩盖	yg	bidyg	遮，挡
bi4	壁	土建	tj	bidtj	墙
bi4	嬖	好感	hg	bidhg	宠幸
bi4	篦	用具	yj	bidyj	一种齿比梳子密的梳头用具
bi4	薜	木本	mb	bidmb	常绿藤本植物
bi4	避	躲避	db	biddb	躲，设法躲开
bi4	濞	"地名,排序"	dmp	biddmp	漾濞，地名，在云南
bi4	臂	四肢	sv	bidsv	从肩到手腕的部分
bi4	髀	"四肢,名词"	svm	bidsvm	大腿，亦指大腿骨
bi4	璧	玩物	ww	bidww	平圆形中间有孔的玉
bi4	襞	服装	fv	bidfv	衣服和肠、胃等内部器官上的褶子
bi4	拂	"保卫,古字"	bwg	bidbwg	辅佐保卫
bi4	泌	地名	dm	biddm	泌阳，县名，在河南
bi4	秘	[祖姓]	z	bidz	姓氏
bi4	芘	"保卫,排序A"	bwpa	bidbwpa	古通“庇”遮蔽，掩护
bian1	边	(方位)		bib	物体的周围部分
bian1	边	方位	fw	biblfw	物体的周围部分
bian1	砭	医科	yk	biblyk	中国古代用以治病的石针
bian1	笾	器皿	qm	biblqm	古代祭祀和宴会时盛果品等的竹器
bian1	编	(技能)		bibl	用细条或带形的东西交叉组织起来
bian1	编	技能	jn	bibljn	用细条或带形的东西交叉组织起来
bian1	煸	烹饪	pr	biblpr	把菜肴放在热油里炒到半熟
bian1	蝙	[哺乳]	b	biblb	蝙蝠
bian1	鳊	鱼类	yl	biblyl	鳊鱼
bian1	鞭	用具	yj	biblyj	驱使牲畜的用具
bian3	贬	(评判)		bibf	给予低的评价
bian3	贬	评判	pp	bibfpp	给予低的评价
bian3	扁	体貌	tm	bibftm	物体平而薄
bian3	窆	墓葬	mz	bibfmz	下葬
bian3	匾	表示	bu	bibfbu	题字的横牌
bian3	碥	近水	ju	bibfju	急流之中斜着伸出来的险峻的山石
bian3	褊	空间	kj	bibfkj	狭小，狭隘
bian4	卞	急忙	jm	bibdjm	急躁
bian4	弁	服装	fv	bibdfv	古代的一种帽子
bian4	忭	快乐	kl	bibdkl	高兴，喜欢
bian4	汴	地市	du	bibddu	开封市的别称
bian4	苄	[化学]	h	bibdh	〔苄基〕一种有机化合物的基
bian4	便	自在	zz	bibdzz	顺利，没有困难或阻碍
bian4	变	(变化)		bibd	性质状态或情形和以前不同
bian4	变	变化	bh	bibdbh	性质状态或情形和以前不同
bian4	缏	材料	cl	bibdcl	像辫子的东西
bian4	遍	态势	tu	bibdtu	全面，到处
bian4	辨	认知	rv	bibdrv	分别，分析，明察
bian4	辩	沟通	gt	bibdgt	说明是非或争论真假
bian4	辫	皮肤	pf	bibdpf	把头发分股编成的带状物
bian5	边	(方位)		bibm	物体的周围部分
bian5	边	方位	fw	bibmfw	物体的周围部分
biao1	杓	餐具	cj	biaolcj	同“勺”，一种有柄的可以舀取东西的器具
biao1	彪	(哺乳)		biaol	小老虎
biao1	彪	哺乳	br	biaolbr	小老虎
biao1	标	(方位)		biao	树木的末梢
biao1	标	方位	fw	biaolfw	树木的末梢
biao1	飑	"天气,排序A"	tqpa	biaoltqpa	气象学上指风向突然改变
biao1	髟	"皮肤,样貌"	pfy	biaolpfy	毛发下垂的样子
biao1	骠	[哺乳]	b	biaolb	黄毛夹杂着白点子的马
biao1	膘	组织	zv	biaolzv	肥肉
biao1	瘭	疾病	jb	biaoljb	手指头肚儿急性发炎化脓的病
biao1	镖	兵器	bq	biaolbq	旧时投掷用的武器，形状像长枪的头
biao1	飙	天气	tq	biaoltq	暴风
biao1	飚	"天气,排序"	tqp	biaoltqp	古同“飙”，暴风
biao1	镳	组合	zh	biaolzh	马嚼子两端露出嘴外的部分
biao3	表	(方位)		biaof	外部，外面，外貌
biao3	表	方位	fw	biaoffw	外部，外面，外貌
biao3	婊	角色	js	biaofjs	妓女
biao3	裱	技能	jn	biaofjn	用纸或丝织物把书、画等衬托粘糊起来
biao4	鳔	(器官)		biaod	某些鱼类体内可以涨缩的气囊
biao4	鳔	器官	qg	biaodqg	某些鱼类体内可以涨缩的气囊
bie1	憋	(痛苦)		biel	气不通
bie1	憋	痛苦	tk	bieltk	气不通
bie1	鳖	(爬类)		bie	爬行动物
bie1	鳖	爬类	pl	bielpl	爬行动物
bie1	瘪	称谓	iw	bieliw	城市中无正当职业而以乞讨或偷窃为生的流氓游民
bie2	别	(社交)		biek	分离
bie2	别	社交	uj	biekuj	分离
bie2	蹩	痛苦	tk	biektk	扭伤了脚腕子
bie3	瘪	(体貌)		bief	不饱满，凹下
bie3	瘪	体貌	tm	bieftm	不饱满，凹下
bie4	别	(反感)		bied	不顺心，不相投
bie4	别	反感	fg	biedfg	不顺心，不相投
bin1	宾	(称谓)		bin	客人
bin1	宾	称谓	iw	binliw	客人
bin1	彬	形容	xr	binlxr	形容文雅
bin1	傧	操控	ck	binlck	接引宾客
bin1	斌	"形容,排序"	xrp	binlxrp	斌斌
bin1	滨	(近水)		binl	近水的地方
bin1	滨	近水	ju	binlju	近水的地方
bin1	缤	繁荣	fr	binlfr	繁多而凌乱
bin1	槟	果品	gp	binlgp	苹果属中的一种
bin1	镔	材料	cl	binlcl	精炼的铁
bin1	濒	相对	xd	binlxd	接近，将，临
bin1	豳	地名	dm	binldm	古地名，在今中国陕西省旬邑县西南
bin1	玢	物产	wi	binlwi	火成岩的一种
bin4	摈	抛弃	pq	bindpq	排除，抛弃
bin4	殡	(典礼)		bind	停放灵柩或把灵柩送到墓地去
bin4	殡	典礼	dl	binddl	停放灵柩或把灵柩送到墓地去
bin4	膑	"组织,排序"	zvp	bindzvp	同“髌”，膝盖骨
bin4	髌	组织	zv	bindzv	膝盖骨
bin4	鬓	皮肤	pf	bindpf	脸旁靠近耳朵的头发
bing1	槟	果品	gp	biglgp	槟榔
bing1	冰	(水文)		bigl	水因冷凝结成的固体
bing1	冰	水文	uw	bigluw	水因冷凝结成的固体
bing1	兵	(兵器)		big	武器
bing1	兵	兵器	bq	biglbq	武器
bing1	并	府县	fx	biglfx	中国山西省太原市的别称
bing3	丙	类别	lb	bigflb	天干的第三位
bing3	邴	[祖姓]	z	bigfz	姓氏
bing3	秉	手控	uk	bigfuk	拿着
bing3	柄	器材	qc	bigfqc	用于有柄物
bing3	炳	光泽	gz	bigfgz	光明，显著
bing3	饼	(米面)		bigf	圆形薄片或扁圆形的面制食品
bing3	饼	米面	mm	bigfmm	圆形薄片或扁圆形的面制食品
bing3	禀	通讯	tx	bigftx	指下对上报告
bing3	屏	抛弃	pq	bigfpq	除去，排除
bing4	并	(彼此)		bigd	一齐，平排着
bing4	并	彼此	bc	bigdbc	一齐，平排着
bing4	病	疾病	jb	bigdjb	生物体发生不健康的现象
bing4	摒	抛弃	pq	bigdpq	排除：摒弃
bo1	般	认知	rv	bolrv	〔般若（ｂo1ｒe3）〕智慧（佛经用语）
bo1	趵	动作	dz	boldz	形容足踏地的声音
bo1	拨	搬运	by	bolby	用手指或棍棒等推动或挑动
bo1	波	(水文)		bo	水面振荡起伏的运动
bo1	波	水文	uw	boluw	水面振荡起伏的运动
bo1	玻	材料	cl	bolcl	一种质地硬而脆的透明物品
bo1	剥	剥离	bl	bolbl	去掉外面的皮或其他东西
bo1	钵	盛器	iq	boliq	洗涤或盛放东西的陶制的器具
bo1	饽	米面	mm	bolmm	馒头或其它块状的面食
bo1	菠	菜蔬	cu	bolcu	菠菜
bo1	播	(通讯)		bol	传扬，传布
bo1	播	通讯	tx	boltx	传扬，传布
bo2	柏	地名	dm	bokdm	[柏林]德国的首都
bo2	脖	[躯体]	q	bokq	颈，头和躯干相连的部分
bo2	伯	类别	lb	boklb	兄弟排行次序
bo2	孛	"繁荣,排序"	frp	bpkfrp	同“勃”草木茂盛的样子
bo2	驳	沟通	gt	bokgt	说出自己的理由来，否定旁人的意见
bo2	帛	服料	fl	bokfl	丝织品的总称
bo2	泊	平衡	ph	bokph	安静
bo2	勃	繁荣	fr	bokfr	旺盛，兴起
bo2	亳	"地名,名词"	dmm	bokdmm	〔亳州〕地名，在安徽省。
bo2	钹	乐器	yq	bokyq	铜质圆形的打击乐器
bo2	铂	元素	ys	bokys	一种金属元素Pt
bo2	舶	载具	zj	bokzj	航海的大船
bo2	博	(差异)		bok	用自己的行动获得
bo2	博	差异	iy	bokiy	用自己的行动获得
bo2	渤	河川	hi	bokhi	〔渤海〕在中国山东半岛与辽东半岛之间的海
bo2	鹁	鸟类	nl	boknl	鹁鸪〕鸟，羽毛黑褐色，俗称“水鸪鸪”
bo2	搏	对抗	dk	bokdk	对打
bo2	箔	组合	zh	bokzh	用苇子、秫秸等做成的帘子
bo2	膊	四肢	sv	boksv	上肢，近肩的部分
