词语	T拼音	通用语
阿娘	a1niang2	a-niag
暗夜	an4ye4	anie
暗影	an4ying3	anig
安营扎寨	an1ying2zha1zhai4	anigzhazhai
案由	an4you2	aniu
氨基	an1ji1	anj
安家	an1jia1	anjia
安家费	an1jia1fei4	anjiafei
安家落户	an1jia1luo4hu4	anjialuohu
暗礁	an4jiao1	anjiao
安检	an1jian3	anjib
暗箭难防	an4jian4nan2fang2	anjibnanfag
暗箭伤人	an4jian4shang1ren2	anjibshagren
按揭	an4jie1	anjie
安静	an1jing4	anjig
氨基酸	an1ji1suan1	anjsub
安居	an1ju1	anjv
案卷	an4juan4	anjvb
安居乐业	an1ju1le4ye4	anjvle-ie
安康	an1kang1	ankag
暗扣	an4kou4	ankou
暗蓝	an4lan2	anlan
按劳分配	an4lao2fen1pei4	anlaofenpei
安乐	an1le4	anle
安乐椅	an1le4yi3	anle-i
安乐死	an1le4si3	anles
安乐窝	an1le4wo1	anleuo
按理	an4li3	anli
暗恋	an4lian4	anlib
按铃	an4ling2	anlig
安理会	an1li3hui4	anli-hui
按理说	an4li3shuo1	anli-shuo
暗流	an4liu2	anliu
氨纶	an1lun2	anlun
暗绿	an4lv4	anlv
鞍马	an1ma3	anma
安盟	an1meng2	anmeg
俺们	an3men5	anmen
安谧	an1mi4	anmi
安眠	an1mian2	anmib
安眠药	an1mian2yao4	anmibiao
安民	an1min2	anmin
按摩	an4mo2	anmo
按摩椅	an4mo2yi3	anmoi
按摩器	an4mo2qi4	anmoq
按摩师	an4mo2shi1	anmoshi
案目	an4mu4	anmu
按捺	an4na4	anna
按耐	an4nai4	annai
安宁	an1ning2	annig
按钮	an4niu3	anniu
安排	an1pai2	anpai
暗盘	an4pan2	anpan
岸炮	an4pao4	anpao
安培	an1pei2	anpei
安贫乐道	an1pin2le4dao4	anpinldao
按期	an4qi1	anq
鞍前马后	an1qian2ma3hou4	anqibmahou
案情	an4qing2	anqig
安寝	an1qin3	anqin
安全	an1quan2	anqvb
安全部	an1quan2bu4	anqvbbu
安全带	an1quan2dai4	anqvbdai
安全岛	an1quan2dao3	anqvbdao
安全感	an1quan2gan3	anqvbgan
安全帽	an1quan2mao4	anqvbmao
安全门	an1quan2men2	anqvbmen
安全期	an1quan2qi1	anqvbq
安全套	an1quan2tao4	anqvbtao
安全网	an1quan2wang3	anqvbuag
安全员	an1quan2yuan2	anqvbvb
安全线	an1quan2xian4	anqvbxib
安全性	an1quan2xing4	anqvbxig
安琪儿	an1qi2er1	anqyr
按日	an4ri4	anr
安然	an1ran2	anran
安然无恙	an1ran2wu2yang4	anranu-iag
安然无事	an1ran2wu2shi4	anranushi
安忍	an1ren3	anren
暗色	an4se4	anse
暗杀	an4sha1	ansha
安上	an1shang4	anshag
安设	an1she4	anshe
安生	an1sheng1	ansheg
安身	an1shen1	anshen
安身立命	an1shen1li4ming4	anshenlimig
暗示	an4shi4	anshi
安守	an1shou3	anshou
安睡	an1shui4	anshui
按说	an4shuo1	anshuo
暗送秋波	an4song4qiu1bo1	ansogqiub
暗算	an4suan4	ansub
安泰	an1tai4	antai
暗探	an4tan4	antan
案头	an4tou2	antou
按图索骥	an4tu2suo3ji4	antusuoj
安慰	an1wei4	anui
安慰剂	an1wei4ji4	anuij
安稳	an1wen3	anun
安卧	an1wo4	anuo
暗无天日	an4wu2tian1ri4	anutibr
按语	an4yu3	anv
按月	an4yue4	anve
安于现状	an1yu2xian4zhuang4	anvxibzhuag
安息	an1xi1	anx
按下	an4xia4	anxia
安详	an1xiang2	anxiag
暗笑	an4xiao4	anxiao
安闲	an1xian2	anxib
安歇	an1xie1	anxie
安心	an1xin1	anxin
安息日	an1xi1ri4	anxr
暗自	an4zi4	anz
安葬	an1zang4	anzag
按照	an4zhao4	anzhao
按着	an4zhe5	anzhe
安枕	an1zhen3	anzhen
安置	an1zhi4	anzhi
按质论价	an4zhi4lun4jia4	anzhilunjia
安之若素	an1zhi1ruo4su4	anzhiruosu
暗中	an4zhong1	anzhog
暗中摸索	an4zhong1mo1suo3	anzhogmsuo
按住	an4zhu4	anzhu
安装	an1zhuang1	anzhuag
安装队	an1zhuang1dui4	anzhuagdui
安装费	an1zhuang1fei4	anzhuagfei
案桌	an4zhuo1	anzhuo
傲岸	ao4an4	aoan
奥博	ao4bo2	aob
敖包	ao2bao1	aobao
奥比斯	ao4bi3si1	aobis
凹槽	ao1cao2	aocao
熬成	ao2cheng2	aocheg
熬出	ao2chu1	aochu
熬到	ao2dao4	aodao
熬得	ao2de5	aode
凹地	ao1di4	aodi
奥的斯	ao4di1si1	aodi-s
澳方	ao4fang1	aofag
傲骨	ao4gu3	aogu
熬过	ao2guo4	aoguo
凹痕	ao1hen2	aohen
懊悔	ao4hui3	aohui
奥义	ao4yi4	aoi
熬药	ao2yao4	aoiao
熬夜	ao2ye4	aoie
熬煎	ao2jian1	aojib
凹进	ao1jin4	aojin
凹坑	ao1keng1	aokeg
傲立	ao4li4	aoli
傲慢	ao4man4	aoman
澳门人	ao4men2ren2	aomenren
奥秘	ao4mi4	aomi
奥妙	ao4miao4	aomiao
奥妙无穷	ao4miao4wu2qiong2	aomiaouqiog
懊恼	ao4nao3	aonao
傲气	ao4qi4	aoq
傲然	ao4ran2	aoran
懊丧	ao4sang4	aosag
奥申委	ao4shen1wei3	aoshenui
傲视	ao4shi4	aoshi
傲霜枝	ao4shuang1zhi1	aoshuagzhi
奥斯卡	ao4si1ka3	aoska
奥斯特	ao4si1te4	aost
熬汤	ao2tang1	aotag
凹凸	ao1tu1	aotu
凹凸不平	ao1tu1bu4ping2	aotu-bupig
傲物	ao4wu4	aou
奥委会	ao4wei3hui4	aouihui
奥温	ao4wen1	aoun
澳元	ao4yuan2	aovb
奥运	ao4yun4	aovn
奥运村	ao4yun4cun1	aovncun
奥运会	ao4yun4hui4	aovnhui
凹下	ao1xia4	aoxia
翱翔	ao2xiang2	aoxiag
凹陷	ao1xian4	aoxib
袄子	ao3zi5	aoz
熬制	ao2zhi4	aozhi
熬粥	ao2zhou1	aozhou
阿婆	a1po2	ap
阿嫂	a1sao3	asao
阿婶	a1shen3	ashen
阿叔	a1shu1	ashu
啊唷	a1yo1	ayo
阿姊	a1zi3	az
爸爸	ba4ba4	baba
八拜	ba1bai4	babai
八拜之交	ba1bai4zhi1jiao1	babaizhijiao
八宝	ba1bao3	babao
八宝饭	ba1bao3fan4	babaofan
八宝粥	ba1bao3zhou1	babaozhou
八辈子	ba1bei4zi5	babeiz
把柄	ba3bing3	babig
拔步	ba2bu4	babu
巴不得	ba1bu4de2	babud
拔草	ba2cao3	bacao
靶场	ba3chang3	bachag
八成	ba1cheng2	bacheg
把持	ba3chi2	bachi
拔除	ba2chu2	bachu
叭嗒	ba1da1	bada
霸道	ba4dao4	badao
拔刀相助	ba2dao1xiang1zhu4	badaoxiagzhu
把弟	ba3di4	badi
拔掉	ba2diao4	badiao
拔地而起	ba2di4er2qi3	badi-erq
巴豆	ba1dou4	badou
八度	ba1du4	badu
把舵	ba3duo4	baduo
靶恩	ba3en1	baen
八方	ba1fang1	bafag
八方支援	ba1fang1zhi1yuan2	bafagzhivb
扒饭	ba1fan4	bafan
把风	ba3feng1	bafeg
八哥	ba1ge1	ba-g
拔高	ba2gao1	ba-gao
棒棒糖	bang4bang4tang2	bagbagtag
帮办	bang1ban4	bagban
棒冰	bang4bing1	bagbig
磅秤	bang4cheng4	bagcheg
帮衬	bang1chen4	bagchen
帮厨	bang1chu2	bagchu
棒槌	bang4chui2	bagchui
绑带	bang3dai4	bagdai
膀大腰圆	bang3da4yao1yuan2	bagda-iaovb
傍大款	bang4da4kuan3	bagdakub
绑到	bang3dao4	bagdao
帮倒忙	bang1dao4mang2	bagdaomag
棒打鸳鸯	bang4da3yuan1yang1	bagdavbiag
绑匪	bang3fei3	bagfei
帮扶	bang1fu2	bagfu
帮工	bang1gong1	baggog
帮规	bang1gui1	baggui
邦国	bang1guo2	bagguo
棒喝	bang4he4	bagh
傍黑	bang4hei1	baghei
帮会	bang1hui4	baghui
榜样	bang3yang4	bagiag
榜眼	bang3yan3	bagib
帮佣	bang1yong1	bagiog
绑架	bang3jia4	bagjia
邦交	bang1jiao1	bagjiao
绑紧	bang3jin3	bagjin
蚌壳	bang4ke2	bagke
帮困	bang1kun4	bagkun
邦联	bang1lian2	baglib
帮忙	bang1mang2	bagmag
罢工	ba4gong1	ba-gog
帮派	bang1pai4	bagpai
绑票	bang3piao4	bagpiao
帮腔	bang1qiang1	bagqiag
棒球	bang4qiu2	bagqiu
棒球场	bang4qiu2chang3	bagqiuchag
棒球队	bang4qiu2dui4	bagqiudui
棒球帽	bang4qiu2mao4	bagqiumao
棒球赛	bang4qiu2sai4	bagqiusai
帮人	bang1ren2	bagren
帮上	bang1shang4	bagshag
榜上有名	bang3shang4you3ming2	bagshagiumig
榜上无名	bang3shang4wu2ming2	bagshagumig
帮手	bang1shou3	bagshou
棒糖	bang4tang2	bagtag
帮同	bang1tong2	bagtog
绑腿	bang3tui3	bagtui
八股	ba1gu3	ba-gu
八卦	ba1gua4	ba-gua
扒光	ba1guang1	ba-guag
八卦图	ba1gua4tu2	ba-guatu
八卦掌	ba1gua4zhang3	ba-guazhag
八卦阵	ba1gua4zhen4	ba-guazhen
傍晚	bang4wan3	bagub
把关	ba3guan1	ba-gub
榜文	bang3wen2	bagun
八股文	ba1gu3wen2	ba-guun
帮闲	bang1xian2	bagxib
帮凶	bang1xiong1	bagxiog
棒子	bang4zi5	bagz
绑扎	bang3za1	bagza
帮助	bang1zhu4	bagzhu
棒子面	bang4zi5mian4	bagzmib
拔河	ba2he2	bah
把好	ba3hao3	bahao
疤痕	ba1hen2	bahen
跋扈	ba2hu4	bahu
拔牙	ba2ya2	ba-ia
白皑皑	bai2ai2ai2	baiaiai
白矮星	bai2ai3xing1	baiaixig
拜把	bai4ba3	baiba
拜拜	bai4bai4	baibai
白白净净	bai2bai2jing4jing4	baibaijigjig
白白胖胖	bai2bai2pang4pang4	baibaipagpag
百般	bai3ban1	baiban
百般无奈	bai3ban1wu2nai4	baibanu-nai
百宝箱	bai3bao3xiang1	baibaoxiag
百八十	bai3ba1shi2	baibashi
拜把子	bai4ba4zi5	baibaz
百倍	bai3bei4	baibei
败笔	bai4bi3	baibi
拜别	bai4bie2	baibie
百病	bai3bing4	baibig
摆布	bai3bu4	baibu
百步穿杨	bai3bu4chuan1yang2	baibuchubiag
摆不平	bai3bu4ping2	baibupig
拜辞	bai4ci2	baic
白菜	bai2cai4	baicai
百草	bai3cao3	baicao
百草园	bai3cao3yuan2	baicaovb
八一厂	ba1yi1chang3	ba-ichag
摆成	bai3cheng2	baicheg
白痴	bai2chi1	baichi
白炽灯	bai2chi4deng1	baichideg
百尺竿头	bai3chi3gan1tou2	baichi-gantou
白绸	bai2chou2	baichou
百出	bai3chu1	baichu
百川	bai3chuan1	baichub
白搭	bai2da1	baida
摆荡	bai3dang4	baidag
白大褂	bai2da4gua4	baida-gua
白带	bai2dai4	baidai
白蛋白	bai2dan4bai2	baidanbai
拜倒	bai4dao3	baidao
白地	bai2di4	baidi
白点	bai2dian3	baidib
白癜风	bai2dian4feng1	baidibfeg
白丁	bai2ding1	baidig
摆地摊	bai3di4tan1	baidi-tan
摆动	bai3dong4	baidog
摆渡	bai3du4	baidu
百端	bai3duan1	baidub
白垩	bai2e4	baie
霸业	ba4ye4	ba-ie
白发	bai2fa4	baifa
百发百中	bai3fa1bai3zhong4	baifabaizhog
白发苍苍	bai2fa4cang1cang1	baifacagcag
拜访	bai4fang3	baifag
白饭	bai2fan4	baifan
白费	bai2fei4	baifei
百废待兴	bai3fei4dai4xing1	baifeidaixig
白费劲	bai2fei4jin4	baifeijin
白费蜡	bai2fei4la4	baifeila
白费力气	bai2fei4li4qi4	baifeiliq
百分	bai3fen1	baifen
百分百	bai3fen1bai3	baifenbai
百分比	bai3fen1bi3	baifenbi
百分点	bai3fen1dian3	baifendib
百分之	bai3fen1zhi1	baifenzhi
百分之百	bai3fen1zhi1bai3	baifenzhi-bai
拜佛	bai4fo2	baifo
拜服	bai4fu2	baifu
白鸽	bai2ge1	baig
拔营	ba2ying2	ba-ig
白干	bai2gan1	baigan
百感交集	bai3gan3jiao1ji2	baiganjiaoj
白给	bai2gei3	baigei
百工	bai3gong1	baigog
白狗	bai2gou3	baigou
白骨	bai2gu3	baigu
白瓜	bai2gua1	baigua
白光	bai2guang1	baiguag
百官	bai3guan1	baigub
白骨精	bai2gu3jing1	baigujig
白过	bai2guo4	baiguo
白果树	bai2guo3shu4	baiguoshu
百舸争流	bai3ge3zheng1liu2	baigzhegliu
百合	bai3he2	baih
摆好	bai3hao3	baihao
百合花	bai3he2hua1	baihhua
白虹	bai2hong2	baihog
白虹贯日	bai2hong2guan4ri4	baihoggubr
白喉	bai2hou2	baihou
白虎	bai2hu3	baihu
白话	bai2hua4	baihua
白晃晃	bai2huang3huang3	baihuaghuag
白花花	bai2hua1hua1	baihuahua
败坏	bai4huai4	baihuai
百花齐放	bai3hua1qi2fang4	baihuaqfag
白话诗	bai2hua4shi1	baihuashi
白话文	bai2hua4wen2	baihuaun
百花园	bai3hua1yuan2	baihuavb
百花争艳	bai3hua1zheng1yan4	baihuazhegib
拜会	bai4hui4	baihui
百货	bai3huo4	baihuo
百货店	bai3huo4dian4	baihuodib
拜火教	bai4huo3jiao4	baihuojiao
白蚁	bai2yi3	baii
白牙	bai2ya2	baiia
白羊	bai2yang2	baiiag
白杨树	bai2yang2shu4	baiiagshu
摆样子	bai3yang4zi5	baiiagz
白药	bai2yao4	baiiao
白眼	bai2yan3	baiib
百依百顺	bai3yi1bai3shun4	baii-baishun
拜谒	bai4ye4	baiie
百叶窗	bai3ye4chuang1	baiiechuag
白银	bai2yin2	baiin
柏油	bai3you2	baiiu
柏油路	bai3you2lu4	baiiulu
拜祭	bai4ji4	baij
败家	bai4jia1	baijia
败将	bai4jiang4	baijiag
百家姓	bai3jia1xing4	baijiaxig
败家子	bai4jia1zi3	baijiaz
百家争鸣	bai3jia1zheng1ming2	baijiazhegmig
败家子儿	bai4jia1zi3er1	baijiazyr
拜见	bai4jian4	baijib
白净	bai2jing4	baijig
白净净	bai2jing4jing4	baijigjig
白金	bai2jin1	baijin
白酒	bai2jiu3	baijiu
败局	bai4ju2	baijv
白卷	bai2juan4	baijvb
白驹过隙	bai2ju1guo4xi4	baijvguox
败军	bai4jun1	baijvn
摆开	bai3kai1	baikai
白开水	bai2kai1shui3	baikaishui
百科	bai3ke1	baike
百孔千疮	bai3kong3qian1chuang1	baikogqibchuag
白口	bai2kou3	baikou
百口莫辩	bai3kou3mo4bian4	baikoumbib
摆阔	bai3kuo4	baikuo
摆阔气	bai3kuo4qi4	baikuoq
白蜡	bai2la4	baila
白兰	bai2lan2	bailan
白兰地	bai2lan2di4	bailandi
白兰花	bai2lan2hua1	bailanhua
败类	bai4lei4	bailei
白梨	bai2li2	baili
白亮	bai2liang4	bailiag
白亮亮	bai2liang4liang4	bailiagliag
白脸	bai2lian3	bailib
白莲教	bai2lian2jiao4	bailibjiao
百里才	bai3li3cai2	baili-cai
摆列	bai3lie4	bailie
白领	bai2ling3	bailig
百灵鸟	bai3ling2niao3	bailigniao
百里挑一	bai3li3tiao1yi1	baili-tiaoi
摆龙门阵	bai3long2men2zhen4	bailogmenzhen
白露	bai2lu4	bailu
败落	bai4luo4	bailuo
白绿	bai2lv4	bailv
白马	bai2ma3	baima
白忙	bai2mang2	baimag
白茫茫	bai2mang2mang2	baimagmag
百忙之中	bai3mang2zhi1zhong1	baimagzhizhog
百忙中	bai3mang2zhong1	baimagzhog
摆满	bai3man3	baiman
白帽	bai2mao4	baimao
白毛女	bai2mao2nv3	baimaonv
白蒙蒙	bai2meng2meng2	baimegmeg
白梅	bai2mei2	baimei
白米	bai2mi3	baimi
白描	bai2miao2	baimiao
白面	bai2mian4	baimib
白米饭	bai2mi3fan4	baimi-fan
摆明	bai3ming2	baimig
白沫	bai2mo4	baimo
柏木	bai3mu4	baimu
八音	ba1yin1	ba-in
白内障	bai2nei4zhang4	baineizhag
白嫩	bai2nen4	bainen
白嫩嫩	bai2nen4nen4	bainennen
白鸟	bai2niao3	bainiao
百鸟朝凤	bai3niao3chao2feng4	bainiaochaofeg
百年	bai3nian2	bainib
百年不遇	bai3nian2bu4yu4	bainibbuv
百年树人	bai3nian2shu4ren2	bainibshuren
百年之后	bai3nian2zhi1hou4	bainibzhihou
摆弄	bai3nong4	bainog
白胖	bai2pang4	baipag
白袍	bai2pao2	baipao
白皮	bai2pi2	baipi
摆平	bai3ping2	baipig
白皮书	bai2pi2shu1	baipishu
白皮松	bai2pi2song1	baipisog
摆谱	bai3pu3	baipu
白旗	bai2qi2	baiq
百强	bai3qiang2	baiqiag
百强县	bai3qiang2xian4	baiqiagxib
白球	bai2qiu2	baiqiu
白鳍豚	bai2qi2tun2	baiqtun
白区	bai2qu1	baiqv
白裙	bai2qun2	baiqvn
白日	bai2ri4	bair
白髯	bai2ran2	bairan
白热	bai2re4	baire
白热化	bai2re4hua4	bairehua
白人	bai2ren2	bairen
白刃战	bai2ren4zhan4	bairenzhan
百日咳	bai3ri4ke2	bairk
白日梦	bai2ri4meng4	bairmeg
白肉	bai2rou4	bairou
白日做梦	bai2ri4zuo4meng4	bairzuomeg
白丝	bai2si1	bais
百思不解	bai3si1bu4jie3	baisbujie
白色	bai2se4	baise
白森森	bai2sen1sen1	baisensen
白纱	bai2sha1	baisha
摆上	bai3shang4	baishag
白衫	bai2shan1	baishan
白山黑水	bai2shan1hei1shui3	baishanheishui
白砂糖	bai2sha1tang2	baishatag
摆设	bai3she4	baishe
白生生	bai2sheng1sheng1	baishegsheg
拜神	bai4shen2	baishen
百十	bai3shi2	baishi
摆事实	bai3shi4shi2	baishishi
拜寿	bai4shou4	baishou
白手起家	bai2shou3qi3jia1	baishouqjia
白鼠	bai2shu3	baishu
白霜	bai2shuang1	baishuag
白水	bai2shui3	baishui
白送	bai2song4	baisog
败诉	bai4su4	baisu
百岁	bai3sui4	baisui
白糖	bai2tang2	baitag
摆摊	bai3tan1	baitan
败逃	bai4tao2	baitao
白塔寺	bai2ta3si4	baitas
白条	bai2tiao2	baitiao
白条子	bai2tiao2zi5	baitiaoz
白天	bai2tian1	baitib
拜天地	bai4tian1di4	baitibdi
白天鹅	bai2tian1e2	baitibe
白天黑夜	bai2tian1hei1ye4	baitibheiie
白铁	bai2tie3	baitie
白厅	bai2ting1	baitig
百听不厌	bai3ting1bu4yan4	baitigbu-ib
白铜	bai2tong2	baitog
白头	bai2tou2	baitou
白头到老	bai2tou2dao4lao3	baitoudaolao
白头偕老	bai2tou2xie2lao3	baitouxielao
白兔	bai2tu4	baitu
败退	bai4tui4	baitui
拜托	bai4tuo1	baituo
白雾	bai2wu4	baiu
败亡	bai4wang2	baiuag
百万	bai3wan4	baiub
百位	bai3wei4	baiui
百无禁忌	bai3wu2jin4ji4	baiujinj
百无聊赖	bai3wu2liao2lai4	baiuliaolai
白文	bai2wen2	baiun
白玉	bai2yu4	baiv
白猿	bai2yuan2	baivb
白玉兰	bai2yu4lan2	baivlan
白云	bai2yun2	baivn
白云观	bai2yun2guan4	baivngub
白云石	bai2yun2shi2	baivnshi
白皙	bai2xi1	baix
白细胞	bai2xi4bao1	baixbao
摆下	bai3xia4	baixia
拜相	bai4xiang4	baixiag
败下阵来	bai4xia4zhen4lai2	baixiazhenlai
拜谢	bai4xie4	baixie
百姓	bai3xing4	baixig
白熊	bai2xiong2	baixiog
败絮	bai4xu4	baixv
白雪	bai2xue3	baixve
白血病	bai2xue4bing4	baixvebig
白血球	bai2xue4qiu2	baixveqiu
败血症	bai4xue4zheng4	baixvezheg
白字	bai2zi4	baiz
败仗	bai4zhang4	baizhag
百战百胜	bai3zhan4bai3sheng4	baizhanbaisheg
百战不殆	bai3zhan4bu4dai4	baizhanbudai
拜占庭	bai4zhan4ting2	baizhantig
败者	bai4zhe3	baizhe
百折不回	bai3zhe2bu4hui2	baizhebuhui
百折不挠	bai3zhe2bu4nao2	baizhebu-nao
摆正	bai3zheng4	baizheg
败阵	bai4zhen4	baizhen
百褶裙	bai3zhe3qun2	baizheqvn
白纸	bai2zhi3	baizhi
白种	bai2zhong3	baizhog
白种人	bai2zhong3ren2	baizhogren
白昼	bai2zhou4	baizhou
白专	bai2zhuan1	baizhub
败走	bai4zou3	baizou
把家	ba3jia1	bajia
八角	ba1jiao3	bajiao
芭蕉扇	ba1jiao1shan4	bajiaoshan
八角形	ba1jiao3xing2	bajiaoxig
拔尖	ba2jian1	bajib
巴结	ba1jie2	bajie
巴解组织	ba1jie3zu3zhi1	bajiezuzhi
把紧	ba3jin3	bajin
把酒	ba3jiu3	bajiu
扒开	ba1kai1	bakai
